,tweet_id,timestamp,text,rating_numerator,rating_denominator,name,doggo,floofer,pupper,puppo,jpg_url,img_num,confident,dog_breed,retweet_count,favorite_count
0,892420643555336193,2017-08-01 16:23:56,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,10,10,Phineas,1,1,1,1,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1.0,0.0,Unknown,8853,39467
1,892177421306343426,2017-08-01 00:17:27,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",10,10,Tilly,1,1,1,1,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1.0,0.323581,Chihuahua,6514,33819
2,891815181378084864,2017-07-31 00:18:03,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,10,10,Archie,1,1,1,1,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1.0,0.716012,Chihuahua,4328,25461
3,891689557279858688,2017-07-30 15:58:51,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,10,10,Darla,1,1,1,1,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1.0,0.1680859999999999,Labrador_retriever,8964,42908
4,891327558926688256,2017-07-29 16:00:24,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",10,10,Franklin,1,1,1,1,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2.0,0.555712,basset,9774,41048
5,891087950875897856,2017-07-29 00:08:17,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,10,10,,1,1,1,1,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1.0,0.425595,Chesapeake_Bay_retriever,3261,20562
6,890971913173991426,2017-07-28 16:27:12,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",10,10,Jax,1,1,1,1,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1.0,0.341703,Appenzeller,2158,12041
7,890729181411237888,2017-07-28 00:22:40,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,10,10,,1,1,1,1,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2.0,0.566142,Pomeranian,16716,56848
8,890609185150312448,2017-07-27 16:25:51,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,10,10,Zoey,1,1,1,1,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1.0,0.4875739999999999,Irish_terrier,4429,28226
9,890240255349198849,2017-07-26 15:59:51,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,10,10,Cassie,1,1,1,1,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1.0,0.511319,Pembroke,7711,32467
10,890006608113172480,2017-07-26 00:31:25,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,10,10,Koda,1,1,1,1,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1.0,0.957979,Samoyed,7624,31166
11,889880896479866881,2017-07-25 16:11:53,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,10,10,Bruno,1,1,1,1,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,1.0,0.377417,French_bulldog,5156,28268
12,889665388333682689,2017-07-25 01:55:32,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,10,10,,1,1,1,1,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,1.0,0.966327,Pembroke,8538,38818
13,889638837579907072,2017-07-25 00:10:02,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,10,10,Ted,1,1,1,1,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1.0,0.99165,French_bulldog,4735,27672
14,889531135344209921,2017-07-24 17:02:04,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,10,10,Stuart,1,1,1,1,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,1.0,0.953442,golden_retriever,2321,15359
15,889278841981685760,2017-07-24 00:19:32,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,10,10,Oliver,1,1,1,1,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,1.0,0.626152,whippet,5637,25652
16,888917238123831296,2017-07-23 00:22:39,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,10,10,Jim,1,1,1,1,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,1.0,0.714719,golden_retriever,4709,29611
